,Ticker,Price
2023-09-05,JNJ,160.67999267578125
2023-09-06,JNJ,158.00999450683594
2023-09-07,JNJ,160.02999877929688
2023-09-08,JNJ,160.55999755859375
2023-09-11,JNJ,162.66000366210938
2023-09-12,JNJ,163.5800018310547
2023-09-13,JNJ,163.99000549316406
2023-09-14,JNJ,163.74000549316406
2023-09-15,JNJ,161.4499969482422
2023-09-18,JNJ,162.47000122070312
2023-09-19,JNJ,162.1999969482422
2023-09-20,JNJ,162.91000366210938
2023-09-21,JNJ,161.66000366210938
2023-09-22,JNJ,160.5
2023-09-25,JNJ,160.25999450683594
2022-09-01,JPM,114.51000213623047
2022-09-02,JPM,113.70999908447266
2022-09-06,JPM,113.73999786376953
2022-09-07,JPM,115.9000015258789
2022-09-08,JPM,118.5999984741211
2022-09-09,JPM,119.16999816894531
2022-09-12,JPM,120.58000183105469
2022-09-13,JPM,116.38999938964844
2022-09-14,JPM,116.12000274658203
2022-09-15,JPM,117.87000274658203
2022-09-16,JPM,117.08000183105469
2022-09-19,JPM,118.16000366210938
2022-09-20,JPM,115.83000183105469
2022-09-21,JPM,112.48999786376953
2022-09-22,JPM,111.20999908447266
2022-09-23,JPM,109.13999938964844
2022-09-26,JPM,106.79000091552734
2022-09-27,JPM,105.8499984741211
2022-09-28,JPM,107.98999786376953
2022-09-29,JPM,106.16000366210938
2022-09-30,JPM,104.5
2022-10-03,JPM,107.7300033569336
2022-10-04,JPM,112.7699966430664
2022-10-05,JPM,110.38999938964844
2022-10-06,JPM,108.13999938964844
2022-10-07,JPM,105.9800033569336
2022-10-10,JPM,104.98999786376953
2022-10-11,JPM,101.95999908447266
2022-10-12,JPM,103.61000061035156
2022-10-13,JPM,109.37000274658203
2022-10-14,JPM,111.19000244140625
2022-10-17,JPM,115.86000061035156
2022-10-18,JPM,118.83999633789062
2022-10-19,JPM,116.51000213623047
2022-10-20,JPM,116.12999725341797
2022-10-21,JPM,122.2300033569336
2022-10-24,JPM,122.37999725341797
2022-10-25,JPM,122.69999694824219
2022-10-26,JPM,124.11000061035156
2022-10-27,JPM,124.5999984741211
2022-10-28,JPM,126.08000183105469
2022-10-31,JPM,125.87999725341797
2022-11-01,JPM,128.14999389648438
2022-11-02,JPM,126.97000122070312
2022-11-03,JPM,127.19999694824219
2022-11-04,JPM,130.67999267578125
2022-11-07,JPM,131.3699951171875
2022-11-08,JPM,131.4499969482422
2022-11-09,JPM,129.74000549316406
2022-11-10,JPM,135.0800018310547
2022-11-11,JPM,135.3000030517578
2022-11-14,JPM,133.91000366210938
2022-11-15,JPM,132.94000244140625
2022-11-16,JPM,133.1199951171875
2022-11-17,JPM,132.5399932861328
2022-11-18,JPM,133.83999633789062
2022-11-21,JPM,133.0500030517578
2022-11-22,JPM,135.0399932861328
